impl_name,scenario,N,ns_per_op
std_vector,MIXED_R90W10,1000,8.6
std_vector_direct,MIXED_R90W10,1000,4.3
go_slice_int64,MIXED_R90W10,10000,0.0
numpy_int64,MIXED_R90W10,10000,453.98
py_array_q,MIXED_R90W10,10000,316.27
py_list,MIXED_R90W10,10000,255.95
rust_vec_i64,MIXED_R90W10,10000,2.95
sec3,MIXED_R90W10,10000,18.94
sec4,MIXED_R90W10,10000,16.21
std_vector,MIXED_R90W10,10000,6.81
std_vector_direct,MIXED_R90W10,10000,3.24
go_slice_int64,MIXED_R90W10,100000,10.013
numpy_int64,MIXED_R90W10,100000,446.95
py_array_q,MIXED_R90W10,100000,256.37
py_list,MIXED_R90W10,100000,315.894
rust_vec_i64,MIXED_R90W10,100000,3.404
sec3,MIXED_R90W10,100000,18.677
sec4,MIXED_R90W10,100000,24.052
std_vector,MIXED_R90W10,100000,10.885
std_vector_direct,MIXED_R90W10,100000,3.959
go_slice_int64,MIXED_R90W10,1000000,32.5768
numpy_int64,MIXED_R90W10,1000000,473.1311
py_array_q,MIXED_R90W10,1000000,363.9968
py_list,MIXED_R90W10,1000000,411.5312
rust_vec_i64,MIXED_R90W10,1000000,17.0628
sec3,MIXED_R90W10,1000000,42.5493
sec4,MIXED_R90W10,1000000,91.9503
std_vector,MIXED_R90W10,1000000,27.852
std_vector_direct,MIXED_R90W10,1000000,12.9912
go_slice_int64,MIXED_R90W10,10000000,43.541
numpy_int64,MIXED_R90W10,10000000,491.7445
py_array_q,MIXED_R90W10,10000000,386.9897
py_list,MIXED_R90W10,10000000,383.3638
rust_vec_i64,MIXED_R90W10,10000000,17.4885
sec3,MIXED_R90W10,10000000,46.0234
sec4,MIXED_R90W10,10000000,89.1524
std_vector,MIXED_R90W10,10000000,35.1934
std_vector_direct,MIXED_R90W10,10000000,13.6879
go_slice_int64,MIXED_R90W10,100000000,60.2673
numpy_int64,MIXED_R90W10,100000000,563.066
py_array_q,MIXED_R90W10,100000000,530.1977
py_list,MIXED_R90W10,100000000,514.213
rust_vec_i64,MIXED_R90W10,100000000,23.4153
sec3,MIXED_R90W10,100000000,50.2771
sec4,MIXED_R90W10,100000000,48.089
std_vector,MIXED_R90W10,100000000,64.8089
std_vector_direct,MIXED_R90W10,100000000,49.7766
go_slice_int64,READ_UNWRITTEN,1000,0.0
numpy_int64,READ_UNWRITTEN,1000,322.75
py_array_q,READ_UNWRITTEN,1000,109.92
py_list,READ_UNWRITTEN,1000,87.49
rust_vec_i64,READ_UNWRITTEN,1000,1.0
sec3,READ_UNWRITTEN,1000,7.46
sec4,READ_UNWRITTEN,1000,7.09
std_vector,READ_UNWRITTEN,1000,3.19
std_vector_direct,READ_UNWRITTEN,1000,4.67
go_slice_int64,READ_UNWRITTEN,10000,0.0
numpy_int64,READ_UNWRITTEN,10000,222.231
py_array_q,READ_UNWRITTEN,10000,162.078
py_list,READ_UNWRITTEN,10000,84.313
rust_vec_i64,READ_UNWRITTEN,10000,1.359
sec3,READ_UNWRITTEN,10000,4.941
sec4,READ_UNWRITTEN,10000,4.91
std_vector,READ_UNWRITTEN,10000,4.66
std_vector_direct,READ_UNWRITTEN,10000,3.35
go_slice_int64,READ_UNWRITTEN,100000,4.5115
numpy_int64,READ_UNWRITTEN,100000,267.3766
py_array_q,READ_UNWRITTEN,100000,113.4649
py_list,READ_UNWRITTEN,100000,108.0096
